x,z
http://gemeenteraad.org/vocabulary/invalid_vote(1958),http://gemeenteraad.org/vocabulary/invalid_vote(1958)
http://gemeenteraad.org/vocabulary/invalid_vote(1958),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/RPF_have_vote(1990),http://gemeenteraad.org/vocabulary/RPF_have_vote(1990)
http://gemeenteraad.org/vocabulary/RPF_have_vote(1990),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/CDA_have_vote(2002),http://gemeenteraad.org/vocabulary/CDA_have_vote(2002)
http://gemeenteraad.org/vocabulary/CDA_have_vote(2002),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/has_vote(2006),http://gemeenteraad.org/vocabulary/has_vote(2006)
http://gemeenteraad.org/vocabulary/has_vote(2006),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/CDA_have_vote(2014),http://gemeenteraad.org/vocabulary/CDA_have_vote(2014)
http://gemeenteraad.org/vocabulary/CDA_have_vote(2014),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/CU_have_vote(2006),http://gemeenteraad.org/vocabulary/CU_have_vote(2006)
http://gemeenteraad.org/vocabulary/CU_have_vote(2006),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/RK_have_vote(1966),http://gemeenteraad.org/vocabulary/RK_have_vote(1966)
http://gemeenteraad.org/vocabulary/RK_have_vote(1966),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/RK_have_vote(1978),http://gemeenteraad.org/vocabulary/RK_have_vote(1978)
http://gemeenteraad.org/vocabulary/RK_have_vote(1978),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/De_Groenen_have_vote(2014),http://gemeenteraad.org/vocabulary/De_Groenen_have_vote(2014)
http://gemeenteraad.org/vocabulary/De_Groenen_have_vote(2014),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/LOG_have_vote(1994),http://gemeenteraad.org/vocabulary/LOG_have_vote(1994)
http://gemeenteraad.org/vocabulary/LOG_have_vote(1994),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/has_seats(2010),http://gemeenteraad.org/vocabulary/has_seats(2010)
http://gemeenteraad.org/vocabulary/has_seats(2010),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/CPN_have_vote(1949),http://gemeenteraad.org/vocabulary/CPN_have_vote(1949)
http://gemeenteraad.org/vocabulary/CPN_have_vote(1949),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PSP_have_vote(1958),http://gemeenteraad.org/vocabulary/PSP_have_vote(1958)
http://gemeenteraad.org/vocabulary/PSP_have_vote(1958),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/GL&D66_have_vote(2006),http://gemeenteraad.org/vocabulary/GL&D66_have_vote(2006)
http://gemeenteraad.org/vocabulary/GL&D66_have_vote(2006),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/KVP_have_vote(1962),http://gemeenteraad.org/vocabulary/KVP_have_vote(1962)
http://gemeenteraad.org/vocabulary/KVP_have_vote(1962),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/SGP_have_vote(1994),http://gemeenteraad.org/vocabulary/SGP_have_vote(1994)
http://gemeenteraad.org/vocabulary/SGP_have_vote(1994),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/Staatkundig_Gereformeerde_Partij_(S.G.P.)_have_vote(2014),http://gemeenteraad.org/vocabulary/Staatkundig_Gereformeerde_Partij_(S.G.P.)_have_vote(2014)
http://gemeenteraad.org/vocabulary/Staatkundig_Gereformeerde_Partij_(S.G.P.)_have_vote(2014),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/KVP_have_vote(1974),http://gemeenteraad.org/vocabulary/KVP_have_vote(1974)
http://gemeenteraad.org/vocabulary/KVP_have_vote(1974),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/SGP_have_vote(1982),http://gemeenteraad.org/vocabulary/SGP_have_vote(1982)
http://gemeenteraad.org/vocabulary/SGP_have_vote(1982),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/SP_have_vote(1998),http://gemeenteraad.org/vocabulary/SP_have_vote(1998)
http://gemeenteraad.org/vocabulary/SP_have_vote(1998),http://www.w3.org/2002/07/owl#topDataProperty
http://gemeenteraad.org/vocabulary/PvdA_have_vote(1966),http://gemeenteraad.org/vocabulary/PvdA_have_vote(1966)
http://gemeenteraad.org/vocabulary/PvdA_have_vote(1966),http://www.w3.org/2002/07/owl#topDataProperty
http://www.w3.org/2002/07/owl#bottomDataProperty,http://www.w3.org/2002/07/owl#bottomDataProperty
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/VVD_have_vote(1958)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://www.w3.org/2002/07/owl#topDataProperty
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/CU_have_vote(2006)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/valid_vote(1990)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/vote_number(1966)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/Overige_have_vote(1966)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/percent_vote(1966)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/Overige_have_vote(1974)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/vote_number(1994)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/invalid_vote(1990)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/ARP_have_vote(1966)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/LCG_have_vote(2002)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/percent_invalid_blank(1990)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/has_vote(1986)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/LOG_have_vote(1994)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/OPA_have_vote(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PSP_have_vote(1986)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://www.gemeentegeschiedenis.nl/gg-schema#name
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PvdA&D66&GroenLinks_have_vote(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/GPV_have_vote(1994)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/invalid_vote(1978)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/Nederland_Duurzaam_have_vote(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/VVD_have_vote(1974)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/percent_vote(1982)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/invalid_vote(2010)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PvdA_have_vote(1990)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/has_vote(1974)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/vote_number(1990)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/CU_have_vote(2010)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/KVP_have_vote(1949)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/invalid_vote(1946)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/valid_vote(1982)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/PvdV_have_vote(1946)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/Groen_Liberaal_have_vote(2014)
http://www.w3.org/2002/07/owl#bottomDataProperty,http://gemeenteraad.org/vocabulary/KVP_have_vote(1966)
