Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;CDA;VVD;RK;Overige;PAK;PCG;KVP;CPN;PPR;SGP;CHU;ARP;GPV;PSP;BP;DS70;D66;PC;GG
10695;631;Westmaas;998;0;0,00%;1296;1002;77,31%;271;0;222;0;112;0;393;0;0;0;0;0;0;0;0;0;0;0;0;0
11322;98;Weststellingerwerf;11253;0;0,00%;15533;11300;72,75%;4472;2926;1830;0;890;0;0;0;577;0;0;0;0;0;158;400;0;0;0;0
11101;460;Westwoud;872;0;0,00%;1150;876;76,17%;0;378;0;0;494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10676;189;Wierden;10633;0;0,00%;12452;10657;85,58%;1144;0;562;618;1260;0;0;2089;0;0;628;2022;2310;0;0;0;0;0;0;0
11277;462;Wieringen;3787;0;0,00%;5162;3817;73,94%;1346;710;0;0;1308;0;0;0;423;0;0;0;0;0;0;0;0;0;0;0
10239;463;Wieringermeer;5148;0;0,00%;6997;5171;73,90%;1216;0;1074;0;0;0;1514;853;154;337;0;0;0;0;0;0;0;0;0;0
10723;296;Wijchen;8985;0;0,00%;12401;9029;72,81%;0;0;594;0;8391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10434;470;Wijdewormer;625;0;0,00%;817;633;77,48%;0;0;0;0;439;0;0;186;0;0;0;0;0;0;0;0;0;0;0;0
10888;190;Wijhe;3606;0;0,00%;4205;3620;86,09%;1011;0;462;0;353;0;0;913;0;0;0;649;218;0;0;0;0;0;0;0
10753;135;Wijk (de);2367;0;0,00%;3095;2378;76,83%;909;0;482;0;393;0;583;0;0;0;0;0;0;0;0;0;0;0;0;0
10760;352;Wijk bij Duurstede;3498;0;0,00%;4792;3504;73,12%;0;0;608;0;567;759;632;932;0;0;0;0;0;0;0;0;0;0;0;0
10131;991;Wijlre;2004;0;0,00%;2328;2028;87,11%;0;0;0;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10992;992;Wijnandsrade;900;0;0,00%;981;910;92,76%;0;0;0;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10263;634;Wijngaarden;350;0;0,00%;388;352;90,72%;0;0;0;0;166;0;0;0;0;0;114;0;70;0;0;0;0;0;0;0
