Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;LOG;CDA;PvDA;VVD;GL;D66;CU;SP;LPG;SGP;LCG;Overig
;432;Opmeer;5891;8;0,14%;8333;5899;70,79%;1042;1342;538;2148;0;821;0;0;0;0;0;0
;86;Opsterland;14384;17;0,12%;21594;14401;66,69%;4802;2735;2874;1365;927;406;1275;0;0;0;0;0
;584;Oud-Beijerland;11132;13;0,12%;16986;11145;65,61%;3212;1187;1320;1597;738;610;788;0;0;1680;0;0
;437;Ouder-Amstel;5846;28;0,48%;10099;5874;58,16%;0;1677;1519;1600;0;1050;0;0;0;0;0;0
;644;Ouderkerk;4353;12;0,28%;6093;4365;71,64%;0;630;1033;1162;0;0;657;0;0;871;0;0
;589;Oudewater;4755;8;0,17%;7344;4763;64,86%;1748;1408;382;608;0;0;609;0;0;0;0;0
;590;Papendrecht;14158;20;0,14%;23374;14178;60,66%;4169;2201;1790;2173;1058;596;1354;0;0;817;0;0
;765;Pekela;5528;16;0,29%;10452;5544;53,04%;0;953;2333;823;1043;0;376;0;0;0;0;0
;439;Purmerend;30776;59;0,19%;55712;30835;55,35%;11319;3223;4434;5489;2868;1267;0;0;0;0;0;2176
;273;Putten;12340;8;0,06%;17258;12348;71,55%;2497;3167;885;1346;0;0;2266;0;696;1483;0;0
;595;Reeuwijk;6702;10;0,15%;9677;6712;69,36%;1304;1311;0;1635;0;351;0;0;698;0;1403;0
;1661;Reiderland;3383;11;0,33%;5603;3394;60,57%;769;0;832;0;190;0;0;442;0;0;0;1150
;703;Reimerswaal;11003;3;0,03%;15191;11006;72,45%;2792;1540;1243;913;0;0;1028;0;0;3487;0;0
;274;Renkum;15893;19;0,12%;25471;15912;62,47%;2778;3915;2091;3018;2670;1421;0;0;0;0;0;0
;339;Renswoude;2163;3;0,14%;2972;2166;72,88%;0;871;0;488;0;0;0;0;318;486;0;0
;1667;Reusel-De Mierden;6217;5;0,08%;9378;6222;66,35%;3448;1322;742;705;0;0;0;0;0;0;0;0
;275;Rheden;21295;37;0,17%;35657;21332;59,83%;5443;3700;4592;4084;2031;757;688;0;0;0;0;0
;340;Rhenen;8322;12;0,14%;13333;8334;62,51%;0;2087;1202;1639;1197;476;0;0;0;1721;0;0
;597;Ridderkerk;22156;34;0,15%;36513;22190;60,77%;5311;3579;4158;2493;0;0;1923;0;1496;3196;0;0
;602;Rijnsburg;6920;15;0,22%;10759;6935;64,46%;1574;2590;658;741;0;0;1357;0;0;0;0;0
;196;Rijnwaarden;5189;12;0,23%;8686;5201;59,88%;3837;1352;0;0;0;0;0;0;0;0;0;0
;1672;Rijnwoude;9466;14;0,15%;14446;9480;65,62%;0;3271;2305;1707;0;872;0;0;0;0;1311;0
;603;Rijswijk;21575;73;0,34%;39955;21648;54,18%;6542;4590;3085;4570;1465;1323;0;0;0;0;0;0
;1669;Roerdalen;5737;15;0,26%;8270;5752;69,55%;2504;2486;326;421;0;0;0;0;0;0;0;0
;957;Roermond;18119;38;0,21%;34981;18157;51,91%;2611;4441;2636;5846;1847;738;0;0;0;0;0;0
;1670;Roggel en Neer;4167;31;0,74%;6423;4198;65,36%;906;1090;0;606;0;0;0;0;1565;0;0;0
