Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;LOG;VVD;GL;D66;LCG;SP;LPG;SGP;RPF;Overig;GPV;CD;CP86
10783;184;Urk;7966;5;0,06%;9043;7971;88,15%;2003;0;1787;0;0;0;0;0;0;1875;1417;0;884;0;0
10722;344;Utrecht;105364;84;0,08%;186381;105448;56,58%;9455;18792;5070;13214;18517;7241;2449;7344;20168;0;0;2273;0;841;0
10007;981;Vaals;5070;36;0,71%;8817;5106;57,91%;1309;2040;919;514;0;288;0;0;0;0;0;0;0;0;0
11071;283;Valburg;6174;5;0,08%;9805;6179;63,02%;1532;777;1813;618;0;0;938;0;0;496;0;0;0;0;0
10028;619;Valkenburg;1837;1;0,05%;2632;1838;69,83%;778;314;0;380;0;0;365;0;0;0;0;0;0;0;0
11077;994;Valkenburg aan de Geul;10857;33;0,30%;14578;10890;74,70%;2779;0;5968;848;0;0;0;1262;0;0;0;0;0;0;0
11031;858;Valkenswaard;14394;26;0,18%;24419;14420;59,05%;2099;1925;8325;1561;0;484;0;0;0;0;0;0;0;0;0
11292;47;Veendam;12987;47;0,36%;22181;13034;58,76%;1843;5544;966;2271;0;806;1557;0;0;0;0;0;0;0;0
11052;345;Veenendaal;27573;28;0,10%;42477;27601;64,98%;5134;3412;0;4693;3072;2380;5886;0;0;2996;0;0;0;0;0
10369;717;Veere;11518;16;0,14%;16474;11534;70,01%;3065;1525;554;2412;552;702;0;0;0;2005;703;0;0;0;0
10985;860;Veghel;16506;39;0,24%;26379;16545;62,72%;3883;1959;8592;1426;0;646;0;0;0;0;0;0;0;0;0
10071;861;Veldhoven;17789;46;0,26%;31664;17835;56,33%;4640;2047;2245;2907;0;667;0;1927;3356;0;0;0;0;0;0
10620;453;Velsen;29781;49;0,16%;51306;29830;58,14%;4111;6201;5664;6023;2742;1974;1247;0;0;0;0;1477;0;342;0
10433;454;Venhuizen;3862;8;0,21%;5584;3870;69,31%;1087;596;1136;1043;0;0;0;0;0;0;0;0;0;0;0
10477;983;Venlo;26561;43;0,16%;50199;26604;53,00%;7177;3712;564;5734;3968;1161;2693;1552;0;0;0;0;0;0;0
11222;984;Venray;17228;17;0,10%;28135;17245;61,29%;6437;2826;4628;1942;0;1395;0;0;0;0;0;0;0;0;0
10887;620;Vianen;8399;12;0,14%;14514;8411;57,95%;1581;2012;1818;1460;0;0;0;0;0;882;543;103;0;0;0
10811;622;Vlaardingen;32409;66;0,20%;58669;32475;55,35%;4129;6401;2275;5718;2289;1746;2958;4758;1588;0;0;132;0;0;415
11249;48;Vlagtwedde;7379;13;0,18%;12813;7392;57,69%;1872;2231;997;1207;483;181;0;0;0;0;408;0;0;0;0
10658;347;Vleuten-de Meern;10058;16;0,16%;14923;10074;67,51%;2544;1137;4267;1663;0;447;0;0;0;0;0;0;0;0;0
