Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;Onafhankelijk;PAK;D66;PCG;CPN;SGP;PSP;PPR;GPV;Overige;RPF;RK;GG;PC
10239;463;Wieringermeer;6061;23;0,38%;8169;6084;74,48%;2491;1174;1086;562;453;206;0;0;0;0;0;89;0;0;0;0;0
10723;296;Wijchen;12164;47;0,39%;16822;12211;72,59%;3900;0;1253;4711;1767;0;0;0;0;287;0;0;246;0;0;0;0
10434;470;Wijdewormer;790;2;0,25%;925;792;85,62%;245;0;0;364;181;0;0;0;0;0;0;0;0;0;0;0;0
10888;190;Wijhe;4099;16;0,39%;5103;4115;80,64%;1847;1257;664;331;0;0;0;0;0;0;0;0;0;0;0;0;0
10753;135;Wijk (de);2741;11;0,40%;3422;2752;80,42%;607;618;736;780;0;0;0;0;0;0;0;0;0;0;0;0;0
10760;352;Wijk bij Duurstede;5851;17;0,29%;8170;5868;71,82%;1762;1141;1564;476;391;368;149;0;0;0;0;0;0;0;0;0;0
10263;634;Wijngaarden;411;2;0,49%;448;413;92,19%;106;0;0;192;0;0;0;0;113;0;0;0;0;0;0;0;0
10827;872;Willemstad;1841;11;0,60%;2284;1852;81,09%;871;597;277;0;0;96;0;0;0;0;0;0;0;0;0;0;0
10758;349;Willeskop;556;3;0,54%;642;559;87,07%;0;0;0;115;0;0;0;0;69;0;0;0;0;0;372;0;0
10365;350;Wilnis;2735;15;0,55%;3584;2750;76,73%;1284;0;728;0;380;0;343;0;0;0;0;0;0;0;0;0;0
10453;52;Winschoten;11470;63;0,55%;15500;11533;74,41%;1668;4836;1678;1132;1652;504;0;0;0;0;0;0;0;0;0;0;0
11135;53;Winsum;3380;11;0,33%;3939;3391;86,09%;1182;1091;514;0;243;173;177;0;0;0;0;0;0;0;0;0;0
11119;294;Winterswijk;15083;75;0,50%;19898;15158;76,18%;4173;5146;3875;0;644;1245;0;0;0;0;0;0;0;0;0;0;0
10318;295;Wisch;9089;42;0,46%;14054;9131;64,97%;3720;1162;1210;2997;0;0;0;0;0;0;0;0;0;0;0;0;0
10243;727;Wissenkerke;1892;6;0,32%;2375;1898;79,92%;840;464;261;140;0;0;0;0;187;0;0;0;0;0;0;0;0
10602;873;Woensdrecht;4571;50;1,09%;6909;4621;66,88%;1201;644;1026;1700;0;0;0;0;0;0;0;0;0;0;0;0;0
10974;632;Woerden;12014;55;0,46%;16830;12069;71,71%;5156;2035;2692;464;0;535;0;0;683;0;0;0;449;0;0;0;0
10818;466;Wognum;3362;9;0,27%;4586;3371;73,51%;1794;561;746;0;0;261;0;0;0;0;0;0;0;0;0;0;0
10454;99;Wonseradeel;6395;34;0,53%;8109;6429;79,28%;3012;1872;947;460;0;0;0;0;0;0;0;104;0;0;0;0;0
10768;100;Workum;2499;8;0,32%;3102;2507;80,82%;1068;371;394;666;0;0;0;0;0;0;0;0;0;0;0;0;0
10648;467;Wormer;5590;26;0,47%;7682;5616;73,11%;1434;1336;912;315;517;291;0;785;0;0;0;0;0;0;0;0;0
10461;633;Woubrugge;2493;8;0,32%;3185;2501;78,52%;1181;214;544;554;0;0;0;0;0;0;0;0;0;0;0;0;0
11398;351;Woudenberg;4844;18;0,37%;6072;4862;80,07%;1389;759;1022;478;0;0;334;152;710;0;0;0;0;0;0;0;0
10282;874;Woudrichem;6409;39;0,61%;8735;6448;73,82%;2518;1269;903;495;0;180;702;0;0;0;0;0;0;342;0;0;0
10808;875;Wouw;4257;35;0,82%;5894;4292;72,82%;1316;762;428;1751;0;0;0;0;0;0;0;0;0;0;0;0;0
11427;101;Wymbritseradeel;6417;12;0,19%;8141;6429;78,97%;3562;736;694;1310;0;115;0;0;0;0;0;0;0;0;0;0;0
11044;479;Zaanstad;58105;189;0,33%;90535;58294;64,39%;10555;17247;11180;2706;4550;2792;1069;7781;225;0;0;0;0;0;0;0;0
10557;297;Zaltbommel;4308;18;0,42%;6156;4326;70,27%;1249;1972;825;0;0;262;0;0;0;0;0;0;0;0;0;0;0
10956;54;Zandt 't;1384;6;0,43%;1755;1390;79,20%;428;589;0;367;0;0;0;0;0;0;0;0;0;0;0;0;0
