Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;CDA;PvdA;VVD;RK;Overige;D66;PAK;SGP;CPN;PPR;PSP;GPV;PC;GG;PCG;BP;DS70
10702;546;Leiden;52137;240;0,46%;76371;52377;68,58%;13571;18409;8979;0;558;3971;0;0;1414;1531;2819;0;885;0;0;0;0
10058;547;Leiderdorp;9686;32;0,33%;12834;9718;75,72%;3367;2143;3057;0;0;0;0;196;69;854;0;0;0;0;0;0;0
10742;548;Leidschendam;15651;57;0,36%;20511;15708;76,58%;6074;2335;3513;0;2211;1129;343;0;46;0;0;0;0;0;0;0;0
11351;549;Leimuiden;2082;10;0,48%;2743;2092;76,27%;1285;0;389;0;408;0;0;0;0;0;0;0;0;0;0;0;0
10050;550;Lekkerkerk;4482;19;0,42%;5197;4501;86,61%;726;1582;1275;0;0;431;0;426;42;0;0;0;0;0;0;0;0
10142;82;Lemsterland;4996;19;0,38%;6625;5015;75,70%;2178;1669;335;0;297;0;0;0;517;0;0;0;0;0;0;0;0
10978;327;Leusden;9772;27;0,28%;12245;9799;80,02%;3941;0;2425;0;626;0;2147;0;0;0;0;633;0;0;0;0;0
10930;551;Lexmond;1480;1;0,07%;1587;1481;93,32%;579;344;267;0;0;0;0;290;0;0;0;0;0;0;0;0;0
10242;260;Lichtenvoorde;8395;29;0,35%;10532;8424;79,98%;6052;1012;828;0;503;0;0;0;0;0;0;0;0;0;0;0;0
10390;806;Liempde;2201;8;0,36%;2529;2209;87,35%;0;134;0;2067;0;0;0;0;0;0;0;0;0;0;0;0;0
11093;261;Lienden;3529;8;0,23%;4223;3537;83,76%;0;1297;0;0;476;0;0;0;0;0;0;0;0;892;864;0;0
10241;552;Lier (de);4477;15;0,34%;5543;4492;81,04%;2907;0;787;0;0;0;643;0;0;0;0;140;0;0;0;0;0
10637;807;Lieshout;3072;20;0,65%;3612;3092;85,60%;0;0;0;3072;0;0;0;0;0;0;0;0;0;0;0;0;0
11124;931;Limbricht;3070;28;0,91%;3400;3098;91,12%;0;0;0;2590;0;0;480;0;0;0;0;0;0;0;0;0;0
11370;418;Limmen;2534;9;0,36%;3121;2543;81,48%;1500;419;333;0;0;0;0;0;182;0;0;0;0;0;0;100;0
10990;932;Linne;2289;23;1,00%;2636;2312;87,71%;0;0;0;2289;0;0;0;0;0;0;0;0;0;0;0;0;0
11324;328;Linschoten;3000;8;0,27%;3860;3008;77,93%;1442;324;357;0;579;0;0;298;0;0;0;0;0;0;0;0;0
10197;553;Lisse;9303;24;0,26%;12335;9327;75,61%;4979;1273;1587;0;0;0;735;729;0;0;0;0;0;0;0;0;0
11219;808;Lith;3063;34;1,11%;3571;3097;86,73%;0;0;0;3063;0;0;0;0;0;0;0;0;0;0;0;0;0
11263;262;Lochem;9925;53;0,53%;12378;9978;80,61%;2551;3141;0;0;0;0;989;0;0;0;0;0;0;3244;0;0;0
11202;329;Loenen;3953;15;0,38%;4779;3968;83,03%;1536;666;886;0;304;0;0;123;0;438;0;0;0;0;0;0;0
11259;809;Loon op Zand;9666;93;0,96%;12541;9759;77,82%;2302;988;756;5469;0;0;151;0;0;0;0;0;0;0;0;0;0
10639;330;Loosdrecht;4537;22;0,48%;5862;4559;77,77%;1383;724;1432;0;436;562;0;0;0;0;0;0;0;0;0;0;0
10333;331;Lopik;3782;17;0,45%;4622;3799;82,19%;1833;690;313;0;526;0;0;420;0;0;0;0;0;0;0;0;0
10934;24;Loppersum;2299;11;0,48%;2624;2310;88,03%;899;803;271;0;158;0;0;0;0;0;0;168;0;0;0;0;0
11166;168;Losser;11036;30;0,27%;14238;11066;77,72%;6827;2044;957;0;0;0;0;0;275;933;0;0;0;0;0;0;0
10011;810;Luyksgestel;1454;4;0,28%;1665;1458;87,57%;0;0;0;1454;0;0;0;0;0;0;0;0;0;0;0;0;0
11143;811;Maarheeze;4328;31;0,72%;5336;4359;81,69%;1516;0;401;2411;0;0;0;0;0;0;0;0;0;0;0;0;0
10392;332;Maarn;3562;11;0,31%;4142;3573;86,26%;1170;0;1076;0;0;424;667;225;0;0;0;0;0;0;0;0;0
10191;333;Maarssen;12125;38;0,31%;16791;12163;72,44%;3928;0;2872;0;1604;0;3721;0;0;0;0;0;0;0;0;0;0
10691;334;Maartensdijk;4902;21;0,43%;5970;4923;82,46%;1817;841;1031;0;0;553;0;660;0;0;0;0;0;0;0;0;0
