Amsterdamse code;CBS code;Naam;# geldige stemmen;# ongeldige/blanco stemmen;Percentage ongeldige/blanco stemmen;# kiesgerechtigden;Opkomst;Opkomstpercentage;PvdA;Lokale partijen;CDA;VVD;GL;SP;CU;D66;SGP;CU_SGP;PvdA_GL;FNP;PvdA-GL-D66;LPF;Verenigde Senioren Partij;GL/D66;PvdA/D66;Duurzaam Nederland;GL/De Groenen;Nieuwe Communistische Partij;Nieuw Rechts;Partij voor het Noorden;PvdA/GL/D66/SP;NVU;VVD/D66;PvdA/GL/SP;GL/SP/D66;Nederland Mobiel;VIP Vooruitstrevende Integratie Partij
10604;22;Leek;9101;37;0,41%;14425;9138;63,35%;3320;0;1811;1539;1082;0;1141;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10685;545;Leerdam;9177;49;0,53%;15692;9226;58,79%;2809;1562;1342;1053;0;0;954;0;1457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11228;80;Leeuwarden;41138;133;0,32%;72680;41271;56,78%;14590;7100;5262;4609;0;4576;2056;701;0;0;0;1739;0;505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10851;81;Leeuwarderadeel;5755;27;0,47%;7817;5782;73,97%;1708;1756;1101;491;0;0;0;0;0;0;0;699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10702;546;Leiden;53568;270;0,50%;93317;53838;57,69%;12230;6995;5712;7355;5103;8763;3086;3389;0;0;0;0;0;0;0;0;0;935;0;0;0;0;0;0;0;0;0;0;0
10058;547;Leiderdorp;11380;93;0,82%;19706;11473;58,22%;2281;1723;2126;2807;1716;727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11103;1916;Leidschendam-Voorburg;33189;144;0,43%;57985;33333;57,49%;6266;4404;6828;8551;2138;3233;0;1769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11110;995;Lelystad;27564;104;0,38%;53822;27668;51,41%;7578;6170;2419;3949;1997;3002;1902;547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10142;82;Lemsterland;6378;9;0,14%;10106;6387;63,20%;1446;1025;1265;864;0;0;424;0;0;0;0;0;0;0;0;316;0;0;0;1038;0;0;0;0;0;0;0;0;0
10978;327;Leusden;14119;68;0,48%;21519;14187;65,93%;2735;1199;3304;3243;1444;0;0;789;0;1405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11205;694;Liesveld;5408;8;0,15%;7099;5416;76,29%;783;1360;1397;457;0;0;0;0;0;1411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11376;733;Lingewaal;5341;18;0,34%;8213;5359;65,25%;1837;0;1574;999;0;0;633;0;298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10744;1705;Lingewaard;18869;58;0,31%;33441;18927;56,60%;3498;8295;3596;2033;1054;0;0;393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10197;553;Lisse;10277;54;0,53%;16844;10331;61,33%;1974;1656;2172;1833;0;0;0;1496;0;1146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11219;808;Lith;3851;67;1,74%;5023;3918;78,00%;0;3851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10422;140;Littenseradiel;5422;33;0,61%;7963;5455;68,50%;1787;0;1582;877;0;0;0;0;0;0;0;1176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11202;329;Loenen;4436;18;0,41%;6348;4454;70,16%;996;1666;985;789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11259;809;Loon op Zand;9958;37;0,37%;17657;9995;56,61%;1931;4173;1860;1339;655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10333;331;Lopik;6470;32;0,49%;10083;6502;64,48%;1531;0;2167;995;0;0;1087;0;690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10934;24;Loppersum;5742;37;0,64%;8338;5779;69,31%;1524;793;1342;530;827;0;726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11166;168;Losser;10337;45;0,44%;17382;10382;59,73%;2475;3269;3078;1515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10191;333;Maarssen;17216;81;0,47%;30447;17297;56,81%;5559;2093;2412;4452;1476;0;0;563;0;661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11352;934;Maasbree;5806;31;0,53%;9831;5837;59,37%;1123;1556;2227;598;302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10370;1671;Maasdonk;5207;14;0,27%;8426;5221;61,96%;0;3421;1786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10341;263;Maasdriel;13256;25;0,19%;18047;13281;73,59%;1794;2345;4365;3062;1389;0;0;0;301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10880;556;Maassluis;14878;59;0,40%;24926;14937;59,93%;4764;1112;2358;2202;0;1125;825;444;0;0;0;0;0;0;2048;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10182;935;Maastricht;52662;175;0,33%;97833;52837;54,01%;15954;8958;8849;5211;6661;4257;0;2772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11243;936;Margraten;7141;640;8,96%;10484;7781;74,22%;0;2891;2978;1272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11431;25;Marum;4717;26;0,55%;7536;4743;62,94%;2004;0;1249;1062;0;0;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11416;993;Meerlo-Wanssum;3650;25;0,68%;5878;3675;62,52%;389;1912;1140;209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10494;938;Meerssen;11662;26;0,22%;15627;11688;74,79%;0;2741;3858;3439;0;0;0;0;0;0;1624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10925;941;Meijel;2986;0;0,00%;4565;2986;65,41%;0;1753;740;493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11144;83;Menaldumadeel;7037;26;0,37%;10475;7063;67,43%;1739;1095;1270;639;725;0;0;0;0;0;0;1569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11282;1987;Menterwolde;6454;30;0,46%;9828;6484;65,97%;2576;639;485;860;772;783;339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11204;119;Meppel;14995;41;0,27%;23570;15036;63,79%;4180;4509;2050;2085;946;0;1225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10122;687;Middelburg;22832;75;0,33%;35905;22907;63,80%;5015;3084;3429;2530;1929;2092;1963;572;2218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11067;559;Middelharnis;9110;17;0,19%;13618;9127;67,02%;1690;2667;868;852;319;0;994;0;1720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10130;1842;Midden-Delfland;8412;66;0,78%;12867;8478;65,89%;0;3209;3456;1747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10520;1731;Midden-Drenthe;16490;59;0,36%;25727;16549;64,33%;5719;1609;3426;2702;745;1014;915;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10535;815;Mill en Sint Hubert;5404;25;0,46%;8516;5429;63,75%;834;3040;1530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10072;265;Millingen aan de Rijn;2818;102;3,62%;4490;2920;65,03%;1144;585;532;557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10046;1709;Moerdijk;15908;42;0,26%;28701;15950;55,57%;2527;4909;3192;1936;1071;1604;669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10033;335;Montfoort;6527;23;0,35%;9948;6550;65,84%;0;3295;1321;0;0;0;661;0;366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;884;0;0;0;0
10271;944;Mook en Middelaar;3953;14;0,35%;6138;3967;64,63%;743;1429;669;605;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10120;563;Moordrecht;3551;22;0,62%;5932;3573;60,23%;879;870;605;801;0;0;0;0;396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10958;424;Muiden;3746;7;0,19%;5052;3753;74,29%;1088;946;600;811;0;0;0;301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10187;425;Naarden;8313;24;0,29%;12727;8337;65,51%;1566;0;1534;2735;1807;0;0;671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10916;1740;Neder-Betuwe;11502;20;0,17%;15875;11522;72,58%;3513;1044;1479;1231;0;0;899;0;3336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10050;643;Nederlek;7452;55;0,74%;11291;7507;66,49%;2501;985;1320;1547;0;0;0;238;861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
